Paper / Study,Research Focus,Data Context,Models / Methodology Used,Evaluation Metrics,Main Finding / Contribution,Gap or Limitation,What We Implemented,Methodological Improvement,Empirical Evidence / Result,Dashboard Evidence
Shah et al. (2025),Restaurant customer-flow forecasting,"RFID/customer-flow data from Flavoria self-service restaurant, University of Turku, 2019–2024, enriched with weather, holidays, statistical, and menu features.","Linear Regression, Random Forest, XGBoost, LSTM","RMSE, MAE, MSE","XGBoost achieved the strongest performance. Previous-day demand, exponential smoothing, holidays, day of week, and weather were influential.",Single university self-service restaurant; ML-focused; no SARIMAX; not multi-location.,"We adapted the logic of temporal, weather, holiday, event, lag, and rolling features into an interpretable POS-based forecasting framework.",We combined interpretable SARIMAX structure with Random Forest residual correction instead of relying only on black-box ML.,Baseline MAPE improved from 22.48% to 16.20% with the Hybrid SARIMAX + RF model.,Model Evaluation & Validation; Feature Engineering & Selection
Tanizaki et al. (2020),Restaurant store management based on demand forecasting,Restaurant chain data using POS data and external data such as weather and events.,"Machine Learning, Random Forest Regression",Forecasting accuracy for customer order quantity and inventory order quantity.,Forecasting can support employee placement and food material ordering.,Uses ML rather than SARIMAX; limited emphasis on interpretability.,"We connected forecast results to staffing readiness, menu preparation, inventory planning, promotion timing, and operational recommendations.",We moved from pure forecasting toward a decision-support dashboard for restaurant managers.,"Dashboard provides operational interpretation, KPI cards, final holdout forecast, and manager-facing decision support.",Executive Decision Dashboard; Research Framework
Posch et al. (2022),Food and beverage sales prediction in restaurants and staff canteens,POS data from a casual restaurant and a large staff canteen over approximately 20 months.,Bayesian Generalized Additive Models,Predictive comparison against established forecasting approaches.,"Interpretable POS-based models can handle multiple seasonalities, gaps, trend changes, and outliers.","Limited emphasis on external variables such as weather, events, holidays, or promotions.","We integrated POS history with calendar, seasonality, weather exposure, event indicators, holidays, lags, rolling averages, and KPI features.",We expanded the modeling pipeline from POS-only forecasting to POS plus external-variable and KPI-aware forecasting.,Final modeling dataset includes 474 daily observations and 50 modeling variables; enhanced KPI layer includes 115 candidate engineered variables.,Data Pipeline & Data Quality; Feature Engineering & Selection
Tsoumakas (2019),Survey of machine learning techniques for food sales prediction,"Broad literature survey across food-related businesses such as supermarkets, grocery stores, restaurants, bakeries, and patisseries.",Review of machine learning techniques,Review of accuracy measures across prior studies.,"Highlights key design decisions: granularity, input variables, target representation, algorithms, and evaluation metrics.",Broad survey; no direct restaurant SARIMAX implementation; no specific applied restaurant dashboard.,"We operationalized these design decisions into a structured data pipeline, target definition, daily aggregation, feature engineering process, model comparison, and validation strategy.",We transformed broad forecasting design principles into an applied restaurant POS forecasting workflow.,"Pipeline transforms 276,109 cleaned POS records and 81 source columns into daily modeling, validation, and dashboard-ready datasets.",Data Pipeline & Data Quality; Analytics Roadmap
Choi et al. (2022),Review of forecasting studies for the restaurant industry,"Literature review of restaurant forecasting studies focused on results, contributions, and limitations.",Review article,Review-based analysis,Restaurant forecasting studies often focus on model building and accuracy; hybrid models are common.,No new empirical model or dataset; practical decision support remains underdeveloped.,We moved beyond accuracy metrics by deploying an interactive dashboard that connects forecasting outputs with operational interpretation.,We translated model evaluation into manager-facing decision support rather than stopping at model performance.,"QR-accessible Streamlit dashboard includes research framework, pipeline, model results, and executive decision dashboard.",Literature Gap & Contribution; Executive Decision Dashboard
Chae et al. (2024),Restaurant demand forecasting using POS data from a large restaurant chain,"POS plus external data, including sales, promotions, macroeconomic, and pandemic-related variables.","Random Forest, XGBoost, RNN, Transformer-based models",MAPE,Advanced ML and deep learning models can improve forecasting accuracy; reported up to 95% improvement.,Strong focus on model performance; limited interpretability and practical implementation for managers.,"We prioritized interpretability through SARIMAX, then added Random Forest residual correction only after establishing the statistical forecasting core.",We balanced interpretability and accuracy instead of relying only on complex deep learning architectures.,Baseline MAPE 22.48%; SARIMAX Basic MAPE 18.50%; Hybrid SARIMAX + RF MAPE 16.20%.,Modeling Strategy; Model Evaluation & Validation
Rodrigues et al. (2024),Short-term demand forecasting in food catering services,Transactional catering demand data enriched with temporal and external variables such as weather.,"Random Forest, LightGBM, LSTM, Transformer models","MAE, RMSE, MAPE",Short-term demand forecasting can reduce overproduction and food waste by approximately 14%–52%.,"Focuses mainly on catering and food waste reduction, with less emphasis on broader restaurant decision support.","We adapted short-term forecasting logic to restaurant POS sales, transactions, average ticket, and operational planning.","We extended the operational value from waste reduction to staffing, preparation, inventory readiness, and promotional timing.","Manager dashboard shows net sales, transactions, average ticket, annual behavior, holdout forecast, and operational value.",Executive Decision Dashboard; Research Framework
Schmidt et al. (2022),Restaurant sales forecasting using POS data,Restaurant POS data with time-based variables such as trends and seasonality.,"Linear Regression, Random Forest, XGBoost, Recurrent Neural Networks","MAE, sMAPE",Machine learning models outperformed simpler baselines and sales forecasting can support employee scheduling.,Mainly single-location scope.,"We built a framework that can be extended to multi-location forecasting, while the current MVP focuses on Twisted Bar because it has the most complete dataset.",We made the scope decision transparent: Twisted Bar is the complete MVP; Chile & Agave remains a future extension due to partial data availability.,Current MVP uses complete Twisted Bar data; future roadmap includes multi-location expansion.,Research Framework; Limitations & Future Research
Hossain et al. (2025),Comparative study of statistical and machine learning models for restaurant sales forecasting,Restaurant sales data.,"Simple Exponential Smoothing, Random Forest, XGBoost, Multilayer Perceptron","MAE, RMSE, MAPE","Machine learning models can outperform statistical approaches, but interpretability remains an important trade-off.",Accuracy and interpretability trade-off remains unresolved for practical restaurant management.,"We compared baseline, SARIMAX, and hybrid models to balance explainability and predictive improvement.",We used SARIMAX as an interpretable core and Random Forest as a residual correction layer.,SARIMAX Basic MAPE 18.50%; Hybrid SARIMAX + RF MAPE 16.20%.,Modeling Strategy; Model Evaluation & Validation
Seyam et al. (2025),Stacked ensemble model for food demand forecasting,"Food demand data with sales, prices, promotions, and product characteristics.","Stacked ensemble using Random Forest, XGBoost, Support Vector Regression, and LSTM","MAE, MAPE, R²","Stacked ensemble achieved very high predictive accuracy, with R² close to 0.99.",High model complexity may limit implementation in small and medium-sized restaurants.,"We developed a more practical forecasting workflow that is easier to explain, deploy, and connect with operational decisions.",We used hybrid modeling only where it added value: Random Forest corrects SARIMAX residuals instead of replacing the entire approach with a complex ensemble.,Hybrid model improved accuracy while preserving an interpretable forecasting structure.,Literature Gap & Contribution; Modeling Strategy
